"Link","Partner Name","Products","Supported Languages","Countries","Specialization","Address","Phone Number","Email","Website"
"https://cloud.google.com/find-a-partner/partner/exousia-nusantara","Exousia Nusantara","Google Workspace for Education, Google Workspace, and Google Cloud Platform","English and Indonesian","Indonesia","NA","https://maps.google.com/?q=Jalan%20Dokter%20Cipto%20No.18%20-%2020%20Semarang%20Jawa%20Tengah%2050126%20ID","tel:+62-24-30000220","mailto:sales@exousia-nusantara.com","https://www.exousia-nusantara.com/"
"https://cloud.google.com/find-a-partner/partner/%E6%BE%AA%E6%A8%99%E3%82%A2%E3%83%8A%E3%83%AA%E3%83%86%E3%82%A3%E3%82%AF%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE","澪標アナリティクス株式会社","Google Cloud Platform","Japanese","Japan","NA","https://maps.google.com/?q=%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%85%9C%E7%94%BA%EF%BC%98%E2%88%92%EF%BC%98%20%E4%B8%AD%E5%B3%B6%E3%83%93%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%20%E4%B8%AD%E5%A4%AE%E5%8C%BA%20Tokyo%20103-0026%20JP","tel:+81 366617251","mailto:ihara@mioana.com","https://mioana.com/"
"https://cloud.google.com/find-a-partner/partner/cloudfuture","CLOUDFUTURE","Google Cloud Platform and Google Workspace","English and Romanian","Austria, Bosnia & Herzegovina, Belgium, Bulgaria, Switzerland, Cyprus, Czechia, Germany, Denmark, Estonia, Finland, Faroe Islands, France, United Kingdom, Greece, Croatia, Hungary, Ireland, Isle of Man, Iceland, Italy, Liechtenstein, Lithuania, Luxembourg, Latvia, Monaco, Moldova, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Sweden, Slovenia, Slovakia, Türkiye, and world","NA","https://maps.google.com/?q=Str.%20Neamului,%20nr.%201D,%20bl.%201,%20sc.%20B,%20Ap.%2032%20Bragadiru%20077025%20RO","tel:+40744253057","mailto:office@cloudfuture.ro","https://cloudfuture.ro/"
"https://cloud.google.com/find-a-partner/partner/wawneeds","Click Cloud","Google Workspace and Google Workspace for Education","Arabic, English, and French","Belgium, France, Ghana, Morocco, Mali, Saudi Arabia, Senegal, and Tunisia","NA","https://maps.google.com/?q=54,%20Rue%20Tansift,%20Appt.%201,%20Agdal,%20Rabat%20Rabat%20Casablanca%2010000%20MA","tel:+212 606451342","mailto:contact@clickcloud.ma","https://clickcloud.ma/"
"https://cloud.google.com/find-a-partner/partner/network-one-distribution","Network One Distribution","Chrome, Google Cloud Platform, Google Workspace, and Google Workspace for Education","English, Italian, and Romanian","Italy, Moldova, Poland, and Romania","NA","https://maps.google.com/?q=3-5%20Marcel%20Iancu%20Str.,%20Bucuresti,%20020757%20Bucuresti%20020757%20RO","tel:+40790048930","mailto:google@nod.ro","https://www.nod.ro/"
"https://cloud.google.com/find-a-partner/partner/goga-inc","GOGA, Inc.","Google Cloud Platform and Google Maps Platform","Japanese","Japan","NA","https://maps.google.com/?q=%E3%80%92150-0002,%20%EF%BC%93%E4%B8%81%E7%9B%AE-%EF%BC%96-%EF%BC%93%20%E6%B8%8B%E8%B0%B7%20%E6%B8%8B%E8%B0%B7%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20150-0002%20Shibuya%20Tokyo%20150-0002%20JP","tel:+81 364506260","mailto:map@goga.co.jp","https://www.goga.co.jp/"
"https://cloud.google.com/find-a-partner/partner/agilitics-pte-ltd","Agilitics Pte. Ltd.","Google Cloud Platform and Google Cloud Training","English and Hindi","India, Malaysia, and Singapore","NA","https://maps.google.com/?q=#11-09,10,14%20International%20Plaza,%2010%20Anson%20road,%20Singapore%20Singapore%20068811%20SG","tel:+65 81383664","mailto:amit@agilitics.sg","https://agilitics.sg/"
"https://cloud.google.com/find-a-partner/partner/sense8-digital-technology","Sense8 Digital Technology","Google Cloud Platform and Google Workspace","English, French, German, Italian, Romanian, Russian, and Spanish","world","NA","https://maps.google.com/?q=32%20Londra%20Street,%20Ground%20floor,%201st%20Apt,%201st%20District%20Bucharest%20011764%20RO","tel:+40212062200","mailto:say_hello@sense8.eu","https://sense8.eu/"
"https://cloud.google.com/find-a-partner/partner/impulse-international-for-telecommunication","Impulse International for Telecommunication","Professional Services Organization, Google Workspace, Google Cloud Platform, and Google Workspace for Education","Arabic and English","Kuwait","NA","https://maps.google.com/?q=KIPCO%20Tower%2025th%20floor%20Sharq,%20Kuwait%20Kuwait%2013023%20KW","tel:+965 2259 8598","mailto:info@impulse.com.kw","https://www.impulse.com.kw/"
"https://cloud.google.com/find-a-partner/partner/toenec-corporation","TOENEC CORPORATION","Google Workspace for Education, Chrome, and Google Workspace","Japanese","Japan","NA","https://maps.google.com/?q=%E5%8D%83%E5%B9%B43-1-32%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%B8%AF%E5%8C%BA%20Aichi%20455-0011%20JP","tel:052-659-1196","mailto:johou-info@toenec.co.jp","https://www.toenec.co.jp/"
"https://cloud.google.com/find-a-partner/partner/thought-machine","Thought Machine","Google Cloud Platform","English","world","NA","https://maps.google.com/?q=7%20Herbrand%20Street%20London%20London,%20City%20of%20WC1N%201EX%20GB","tel:00000000000","mailto:commercial-contact@thoughtmachine.net","https://www.thoughtmachine.net/"
"https://cloud.google.com/find-a-partner/partner/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%93%E3%83%83%E3%82%B0%E3%83%84%E3%83%AA%E3%83%BC%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC%EF%BC%86%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0","株式会社ビッグツリーテクノロジー＆コンサルティング","Google Cloud Platform and Google Workspace","Japanese","Japan","NA","https://maps.google.com/?q=%E4%B8%89%E7%94%B03-13-16%20%E4%B8%89%E7%94%B043MT%E3%83%93%E3%83%AB12%E9%9A%8E%20%E6%B8%AF%E5%8C%BA%20Tokyo%201080073%20JP","tel:0364353400","mailto:coe-cloud@bigtreetc.com","https://www.bigtreetc.com/"
"https://cloud.google.com/find-a-partner/partner/alholool","alholool","Google Cloud Platform and Google Workspace","Arabic and English","Saudi Arabia","NA","https://maps.google.com/?q=Riyadh%20-%20Al%20Olaya%20district%20-%20AlOlaya%20street%20Riyadh%2012244%20SA","tel:+966556689265","mailto:info@alholool.com.sa","https://alholool.com.sa/"
"https://cloud.google.com/find-a-partner/partner/damavis","Damavis","Google Cloud Platform","Basque, Catalan, English, Galician, and Spanish","Andorra, Spain, Gibraltar, Greece, Italy, Malta, Portugal, San Marino, and South Africa","NA","https://maps.google.com/?q=Carrer%20Platja,%209,%20PISO%204%20Can%20Picafort%20Palma%20de%20Mallorca%20Balears%20[Baleares]%2007055%20ES","tel:649997271","mailto:info@damavis.com","https://damavis.com/en/"
"https://cloud.google.com/find-a-partner/partner/sienda-ltd","Sienda ltd","NA","English, Italian, and Spanish","Spain, United Kingdom, and Italy","NA","NA","NA","NA","NA"
