"Link","Partner Name","Products","Supported Languages","Countries","Specialization","Address","Phone Number","Email","Website"
"https://cloud.google.com/find-a-partner/partner/cdw","CDW","Google Workspace, Google Cloud Platform, Chrome, and Google Workspace for Education","English","Canada, United Kingdom, and United States","Cloud Migration - Services, Infrastructure - Services, Application Development - Services, and Data Analytics - Services","https://maps.google.com/?q=200%20N%20Milwaukee%20Ave%20Vernon%20Hills%20Illinois%2060061%20US","tel:+1 8473716090","mailto:gcpsales@cdw.com","https://cdw.com/"
"https://cloud.google.com/find-a-partner/partner/econz-it-services-pvt-ltd","Econz IT Services Pvt. Ltd","Google Workspace, Google Cloud Platform, Chrome, and Google Workspace for Education","English, Hindi, Kannada, Malayalam, and Tamil","United Arab Emirates, United Kingdom, and India","Work Transformation - SMB","https://maps.google.com/?q=Level%207,%20Mfar%20Green%20Heart%20,%20Manyata%20Tech%20Park,%20Hebbal%20Bangalore%20Karnataka%20560045%20IN","tel:+91 9019022000","mailto:info@econz.net","http://www.econzit.com/"
"https://cloud.google.com/find-a-partner/partner/huware-srl","Huware Srl","Google Workspace, Google Cloud Platform, Google Workspace for Education, Chrome, Google Maps Platform, and Professional Services Organization","English, Italian, and Spanish","Canada, Switzerland, Germany, Spain, France, United Kingdom, Italy, and United States","Work Transformation - SMB, Data Analytics - Services, and Cloud Migration - Services","https://maps.google.com/?q=Via%20Medardo%20Rosso,%206%20Milano%20Milan%2020159%20IT","tel:+39 02 3056 0088","mailto:info@huware.com","https://huware.com/"
"https://cloud.google.com/find-a-partner/partner/cloud-ace-apac","Cloud Ace - APAC","Google Cloud Training, Google Cloud Platform, Google Workspace, Google Workspace for Education, Professional Services Organization, Google Maps Platform, and Chrome","English, Indonesian, Japanese, Malay, Thai, Vietnamese, and Chinese (China)","China, Hong Kong, Indonesia, Japan, Singapore, Thailand, Taiwan, and Vietnam","NA","https://maps.google.com/?q=Ucommune%20OUE%20Downtown%202,%206%20Shenton%20Way%20#22-08%20Singapore%20068809%20SG","tel:+65-3159-0220","mailto:sg@cloud-ace.com","https://www.cloud-ace.sg/"
"https://cloud.google.com/find-a-partner/partner/devoteam-cloud-services-1","Tridorian","Google Workspace, Google Cloud Platform, and Chrome","English, Indonesian, Malay, Swedish, Thai, and Chinese (Taiwan)","Singapore, Thailand, and Vietnam","Cloud Migration - Services, Infrastructure - Services, Machine Learning - Services, Application Development - Services, Data Analytics - Services, and Work Transformation - Enterprise","https://maps.google.com/?q=18%20Cross%20Street%20#02-101%20Cross%20Street%20Exchange%20Singapore%20048423%20SG","tel:+85884411","mailto:sg.dt.hello@devoteam.com","https://gcloud.devoteam.com/"
"https://cloud.google.com/find-a-partner/partner/wipro-limited","Wipro Limited","Google Workspace and Google Cloud Platform","English","Australia, Brazil, Canada, Switzerland, Germany, Denmark, Finland, France, United Kingdom, India, Netherlands, Norway, New Zealand, Sweden, Singapore, United States, and South Africa","Application Development - Services, Infrastructure - Services, Cloud Migration - Services, Data Center Modernization - Services, and Data Analytics - Services","https://maps.google.com/?q=2%20Tower%20Center%20Blvd%20East%20Brunswick%20New%20Jersey%2008816%20US","tel:+1 5712969855","mailto:amir.sorial@wipro.com","https://www.wipro.com/"
"https://cloud.google.com/find-a-partner/partner/softserve","SoftServe","Google Cloud Platform","English, German, Polish, and Ukrainian","Canada, Switzerland, Chile, Colombia, Germany, Denmark, Finland, United Kingdom, Indonesia, Mexico, Malaysia, Netherlands, Norway, Sweden, Singapore, and United States","Machine Learning - Services, Security - Services, Data Analytics - Services, IoT - Services, and Infrastructure - Services","https://maps.google.com/?q=201%20W%205th%20St,%20Suite%201550%20Austin%20Texas%2078701%20US","tel:+1 5125168880","mailto:gcp.partnership@softserveinc.com","https://www.softserveinc.com/"
"https://cloud.google.com/find-a-partner/partner/microfusion-technology-co-ltd","Microfusion Technology Co., Ltd.","Google Workspace, Google Cloud Platform, Chrome, Google Workspace for Education, and Professional Services Organization","English and Chinese (Taiwan)","Hong Kong and Taiwan","Cloud Migration - Services, Infrastructure - Services, Work Transformation - SMB, and Security - Services","https://maps.google.com/?q=10462%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E6%A8%82%E7%BE%A4%E4%BA%8C%E8%B7%AF275%E8%99%9F%20Taipei%20City%20104%20TW","tel:+886 285015055","mailto:contact@microfusion.cloud","https://microfusion.cloud/"
"https://cloud.google.com/find-a-partner/partner/cloud-technology-solutions-ltd","CTS","Google Workspace, Google Cloud Platform, Google Maps Platform, Chrome, Professional Services Organization, and Google Workspace for Education","Dutch, English, and German","Belgium, Germany, United Kingdom, Luxembourg, and Netherlands","Infrastructure - Services and Cloud Migration - Services","https://maps.google.com/?q=Lowry%20House,%2017%20Marble%20Street%20Manchester%20M2%203AW%20GB","tel:+44 (0)161 871 0330","mailto:hello@cts.co","https://cts.co/"
"https://cloud.google.com/find-a-partner/partner/injenia-srl","INJENIA SRL","Google Workspace, Google Cloud Platform, Chrome, Google Workspace for Education, Professional Services Organization, and Google Maps Platform","English and Italian","Switzerland, Croatia, Italy, and Slovenia","Application Development - Services, Machine Learning - Services, and Work Transformation - Enterprise","https://maps.google.com/?q=via%20dei%20lapidari%2012%20Bologna%2040129%20IT","tel:+39 0516120291","mailto:injenia@injenia.it","https://www.injenia.it/"
"https://cloud.google.com/find-a-partner/partner/intelligence-partner","SoftwareONE Spain - Middle East & North Africa","Google Workspace, Google Cloud Platform, Chrome, Professional Services Organization, and Google Maps Platform","Arabic, English, Portuguese, and Spanish","United Arab Emirates, Egypt, Spain, United Kingdom, Ireland, Jordan, Kuwait, Morocco, Portugal, and Saudi Arabia","Location-Based Services, Work Transformation - SMB, and Infrastructure - Services","https://maps.google.com/?q=EDIFICIO%20CRISTALIA%20PLAY%20-%20Parque%20Empresarial%20Cristalia%20C/%20Via%20de%20los%20Poblados%203,%20Edif.%204b,%201%C2%B0%20plant%20Madrid%2028033%20ES","tel:+34 911517102","mailto:info.es@softwareone.com","https://www.softwareone.com/es-es/"
"https://cloud.google.com/find-a-partner/partner/capgemini-1","Capgemini","Google Cloud Platform and Google Workspace","Czech, Danish, Dutch, English, Finnish, French, German, Hindi, Hungarian, Italian, Japanese, Norwegian, Polish, Portuguese, Romanian, Spanish, Swedish, and Chinese (China)","United Arab Emirates, Argentina, Austria, Australia, Belgium, Brazil, Canada, Switzerland, China, Colombia, Czechia, Germany, Denmark, Spain, Finland, France, United Kingdom, Guatemala, Hong Kong, Hungary, Ireland, India, Italy, Japan, Morocco, Mauritius, Mexico, Malaysia, Netherlands, Norway, New Zealand, Philippines, Poland, Portugal, Romania, Russia, Saudi Arabia, Sweden, Singapore, Slovakia, Tunisia, Taiwan, Ukraine, United States, Vietnam, and South Africa","Work Transformation - Enterprise, Data Analytics - Services, and Cloud Migration - Services","https://maps.google.com/?q=11%20Rue%20de%20Tilsitt%20Paris%20%C3%8Ele-de-france%2075017%20FR","tel:+33 1 47 54 50 00","mailto:genevieve.chamard@capgemini.com","https://www.capgemini.com/"
"https://cloud.google.com/find-a-partner/partner/infosys-limited","Infosys Limited","Professional Services Organization, Google Cloud Platform, and Google Workspace","English","Germany, France, United Kingdom, India, Italy, Netherlands, and United States","Application Development - Services, Cloud Migration - Services, and Infrastructure - Services","https://maps.google.com/?q=4009%20Miranda%20Ave,%20Suite%20100%20Palo%20Alto%20California%2094304%20US","tel:+1 5104938726","mailto:rishi_raj_paul@infosys.com","https://www.infosys.com/"
"https://cloud.google.com/find-a-partner/partner/tech-mahindra-americas-inc","Tech Mahindra (Americas) Inc.","Google Cloud Platform","English","Canada and United States","Data Analytics - Services and Infrastructure - Services","https://maps.google.com/?q=Tech%20Mahindra%20(Americas)%20Inc.%204965%20Preston%20Park%20BLVD,%20Suite%20500%20Plano%20Texas%2075093%20US","tel:+1 7209383761","mailto:mrohan@techmahindra.com","https://www.techmahindra.com/"
"https://cloud.google.com/find-a-partner/partner/cloudw%C3%BCrdig-gmbh","Cloudwürdig GmbH","Google Workspace, Chrome, Google Cloud Platform, Google Workspace for Education, Professional Services Organization, and Google Maps Platform","English and German","Andorra, Austria, Belgium, Bulgaria, Switzerland, Czechia, Germany, Denmark, Estonia, Spain, Finland, France, United Kingdom, Gibraltar, Greece, Croatia, Hungary, Iceland, Italy, Liechtenstein, Lithuania, Luxembourg, Monaco, North Macedonia, Malta, Netherlands, Norway, Poland, Portugal, Romania, Sweden, Slovenia, Slovakia, and San Marino","Infrastructure - Services, Work Transformation - Enterprise, and Cloud Migration - Services","https://maps.google.com/?q=Blumenstra%C3%9Fe%2033/1%20Magstadt%20Baden-w%C3%BCrttemberg%2071106%20DE","tel:+49 7159497920","mailto:info@cloudwuerdig.com","https://www.cloudwuerdig.com/"
