"Link","Partner Name","Products","Supported Languages","Countries","Specialization","Address","Phone Number","Email","Website"
"https://cloud.google.com/find-a-partner/partner/instil-software","Instil Software","Google Cloud Platform","English","Canada, United Kingdom, Ireland, and United States","NA","https://maps.google.com/?q=27-37%20Adelaide%20Street%20Belfast%20BT2%208FE%20GB","tel:+442890278498","mailto:enquiries@instil.co","https://instil.co/"
"https://cloud.google.com/find-a-partner/partner/waterfield-technologies","Waterfield Technologies","Google Cloud Platform","English","Canada, United Kingdom, and United States","NA","https://maps.google.com/?q=1%20W%203rd%20Street,%20Ste%201115%20Tulsa%20Oklahoma%2074103%20US","tel:800-324-0936","mailto:sales@waterfield.com","https://www.waterfieldtechnologies.com/"
"https://cloud.google.com/find-a-partner/partner/hummingbird-technologies","Hummingbird Technologies","Google Cloud Platform","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/primal","primal","Google Workspace","English and Spanish","Mexico","NA","https://maps.google.com/?q=Bosque%20de%20Pinos%20124%20Ciudad%20de%20M%C3%A9xico%20Mexico%20City%2011700%20MX","tel:+52 5556961358","mailto:info@primal.mx","https://www.primal.mx/"
"https://cloud.google.com/find-a-partner/partner/manas-s-a","Manas S.A.","Google Cloud Platform","English and Spanish","Argentina","NA","https://maps.google.com/?q=Soler%204445%20CABA%20Buenos%20Aires%20C1425BWY%20AR","tel:111538871469","mailto:info@manas-ti.com","https://www.manas-ti.com/"
"https://cloud.google.com/find-a-partner/partner/kajeet-inc","Kajeet, Inc.","Google Cloud Platform","English","Canada and United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/fekr-technologies","fekr technologies","Google Cloud Platform","Arabic, English, and French","France, Morocco, and Tunisia","NA","https://maps.google.com/?q=Imm%20I%E2%80%99Express%20Immobiliere,%20Apt%20A-6-14,%20Centre%20Urbain%20Nord,%20El%20Menzeh%20Tunis%20TN","tel:+216 51787700","mailto:contact@fekr.tech","https://fekr.tech/"
"https://cloud.google.com/find-a-partner/partner/genymobile","Genymobile","Google Cloud Platform","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/irisity","Irisity","Google Cloud Platform","English, Hebrew, and Swedish","United Arab Emirates, Argentina, Austria, Belgium, Bulgaria, Brazil, Canada, Switzerland, Czechia, Germany, Denmark, Spain, Finland, France, United Kingdom, Israel, Iceland, Italy, Japan, Liechtenstein, Lithuania, Luxembourg, Malta, Mexico, Malaysia, Netherlands, Norway, Poland, Portugal, Sweden, Singapore, Slovenia, Slovakia, Thailand, Türkiye, and United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/7n-a-s","7N A/S","Google Cloud Platform","English","Switzerland, Denmark, Finland, India, Norway, Poland, Sweden, and United States","NA","https://maps.google.com/?q=Emdrupvej%2026B,%202.%20sal%20Copenhagen%20Region%20hovedstaden%202100%20DK","tel:45 4528 0000","mailto:info.dk@7n.com","https://www.7n.com/"
"https://cloud.google.com/find-a-partner/partner/fledge-io","fledge.io","Google Cloud Platform","English","United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/actifio","Actifio","Google Cloud Platform","English","Australia, Germany, India, Japan, and United States","NA","https://maps.google.com/?q=333%20Wyman%20Street,%20Suite%20250%20Waltham%20Massachusetts%2002451%20US","NA","mailto:info@actifio.com","https://actifio.com/"
"https://cloud.google.com/find-a-partner/partner/kellpro-incu","KellPro Incu","Google Workspace","English","United States","NA","https://maps.google.com/?q=101%20South%2015th%20Duncan%20Oklahoma%2073533%20US","tel:5802555553","mailto:it@kellpro.com","https://www.kellpro.com/"
"https://cloud.google.com/find-a-partner/partner/haboob-technology-for-communication-and-information-technologies","Haboob technology for communication and information technologies","Google Cloud Platform","Arabic and English","Saudi Arabia","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/i-knowledge-factory-pvt-ltd","I Knowledge Factory Pvt. Ltd.","Google Workspace","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/capsicohealth-inc","CapsicoHealth Inc","Google Cloud Platform","English","United Kingdom, Ireland, and United States","NA","https://maps.google.com/?q=2225%20E%20Bayshore%20Rd%20STE%20200,%20Palo%20Alto,%20CA,%2094303%203%20E%203rd%20Ave%20Suite%20200,%20San%20Mateo,%20CA,%2094401%20Palo%20Alto%20California%2094303%20US","tel:845-270-1957","mailto:ramesh@capsicohealth.com","NA"
