"Link","Partner Name","Products","Supported Languages","Countries","Specialization","Address","Phone Number","Email","Website"
"https://cloud.google.com/find-a-partner/partner/schrodinger","Schrodinger ","Google Cloud Platform","English, German, Hindi, and Japanese","China, Germany, United Kingdom, India, Japan, and United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/diyar-united-company","Diyar United Company","Google Cloud Platform","English","United Arab Emirates, Kuwait, Oman, Qatar, and Saudi Arabia","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/noredink","NoRedInk","Google Workspace","English","United States","NA","https://maps.google.com/?q=548%20Market%20St%20PMB%2066984%20San%20Francisco%20California%2094104-5401%20US","tel:8446673346","mailto:hello@noredink.com","https://noredink.com/"
"https://cloud.google.com/find-a-partner/partner/innocloud-it-s-a","INNOCLOUD IT S.A.","NA","English and Spanish","Ecuador","NA","https://maps.google.com/?q=Av.%20Febres%20Cordero%20R.,%20Edificio%20Brickel%20Tower%20piso%204%20Oficina%2025%20Guayaquil%20090112%20EC","tel:+593 996904121","mailto:info@innocloudit.com","https://www.innocloudit.com/"
"https://cloud.google.com/find-a-partner/partner/immuta-inc","Immuta, Inc.","Google Cloud Platform","English","Canada, Germany, Spain, France, United Kingdom, Netherlands, United States, and world","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/techbrein-solutions-pvt-ltd","TechBrein Solutions Pvt Ltd","Google Workspace","Arabic, English, Hindi, Kannada, Tamil, Telugu, and Urdu","United Arab Emirates, Australia, and India","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/prysmatic-labs","Prysmatic Labs","Google Cloud Platform","English","Antarctica, United States, and world","NA","https://maps.google.com/?q=PO%20BOX%2030382%20New%20York%2010014%20US","tel:81764173","mailto:contact@prysmaticlabs.com","NA"
"https://cloud.google.com/find-a-partner/partner/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEflinters","株式会社FLINTERS","Google Cloud Platform","Japanese","Japan","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/skunk-team","Skunk Team","Google Cloud Platform","Dutch and English","Netherlands","NA","https://maps.google.com/?q=R%C3%B6ntgenlaan%2027%20Zoetermeer%20Zuid-Holland%202719DX%20NL","tel:+31 79 3632905","mailto:info@skunk.team","https://skunk.team/"
"https://cloud.google.com/find-a-partner/partner/grie%C5%A1enia-s-r-o","Griešenia, s.r.o.","Google Workspace","Czech, English, and Slovak","Slovakia","NA","https://maps.google.com/?q=%C5%A0vermova%2028%20Bansk%C3%A1%20Bystrica%2097404%20SK","tel:+421 915883355","mailto:info@griesenia.sk","https://griesenia.sk/"
"https://cloud.google.com/find-a-partner/partner/looloo-technology-co-ltd","Looloo Technology Co., Ltd.","Google Cloud Platform","English and Thai","Thailand","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/pt-shakta-vidia-solusi","PT. SHAKTA VIDIA SOLUSI","NA","English and Indonesian","Indonesia","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/r-brain-inc","R-Brain, Inc.","Google Cloud Platform","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/notable-health","Notable Health","Google Cloud Platform","English, Khmer, Portuguese, and Spanish","United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/ethernova","Ethernova","Google Workspace","Basque, English, and Spanish","Germany, Spain, United Kingdom, Italy, and Mexico","NA","https://maps.google.com/?q=Pintor%20Mauro%20%C3%93rtiz%20de%20Urbina,%2012%20Bajo%20Vitoria-Gasteiz%2001008%20ES","tel:+34945123206","mailto:info@ethernova.com","https://www.ethernova.com/"
